Tiempo	Replica	Distancia_Global	CYS1	Distancia_Global_Smooth	CYS1_Smooth
2.400	R3	13.779	19.538	10.557	14.360
2.440	R3	11.161	15.242	10.765	14.497
2.480	R3	10.945	12.191	11.029	14.629
2.520	R3	9.273	9.273	11.120	14.727
2.560	R3	9.230	9.230	11.125	14.671
2.600	R3	8.700	8.700	11.233	14.736
2.640	R3	6.989	6.989	11.433	14.867
2.680	R3	8.482	8.519	11.545	14.605
2.720	R3	8.989	8.989	11.845	14.606
2.760	R3	12.418	15.195	12.158	14.791
2.800	R3	12.452	16.346	12.344	14.987
2.840	R3	12.978	16.842	12.652	15.106
2.880	R3	9.754	14.659	13.041	15.291
2.920	R3	11.970	16.261	13.334	15.522
2.960	R3	12.528	18.992	13.592	15.780
3.000	R3	16.840	22.989	13.702	15.890
3.040	R3	13.850	16.409	13.878	16.066
3.080	R3	18.109	18.591	14.082	16.270
3.120	R3	19.682	22.445	14.227	16.413
3.160	R3	18.756	22.344	14.351	16.605
3.200	R3	19.936	21.919	14.251	16.498
3.240	R3	18.932	18.932	14.070	16.248
3.280	R3	16.820	16.820	13.816	15.801
3.320	R3	14.420	14.420	13.725	15.465
3.360	R3	11.441	11.441	13.634	15.160
3.400	R3	12.207	12.207	13.607	14.809
3.440	R3	11.070	11.070	13.214	14.264
3.480	R3	11.391	11.391	13.222	14.172
3.520	R3	11.463	12.834	12.990	13.915
3.560	R3	10.420	13.054	12.694	13.530
3.600	R3	8.824	11.339	12.420	13.170
3.640	R3	7.898	7.898	11.984	12.789
3.680	R3	7.948	7.948	11.513	12.453
3.720	R3	10.155	10.155	11.224	12.225
3.760	R3	11.972	11.972	11.279	12.568
3.800	R3	8.988	12.088	11.676	13.127
3.840	R3	14.006	14.564	11.875	13.590
3.880	R3	13.466	13.466	12.153	14.174
3.920	R3	13.764	14.746	12.553	14.638
3.960	R3	13.291	15.143	13.012	15.315
4.000	R3	11.205	14.294	13.483	15.926
4.040	R3	9.510	12.208	13.950	16.656
4.080	R3	11.037	12.257	14.492	17.311
4.120	R3	15.533	21.294	15.205	18.098
4.160	R3	19.383	22.614	15.752	18.753
4.200	R3	16.183	21.457	16.148	19.149
4.240	R3	16.627	22.749	16.619	19.545
4.280	R3	19.394	20.684	16.870	19.880
4.320	R3	20.634	26.363	17.113	20.311
4.360	R3	19.850	25.273	17.162	20.522
4.400	R3	18.165	25.940	17.324	20.637
4.440	R3	18.739	21.012	17.445	20.659
4.480	R3	22.195	23.671	17.479	20.694
4.520	R3	21.093	23.261	17.515	20.676
4.560	R3	19.895	19.895	17.308	20.253
4.600	R3	18.413	20.013	17.047	20.060
4.640	R3	19.022	21.261	17.007	19.849
4.680	R3	18.326	22.090	16.834	19.410
4.720	R3	14.746	18.968	16.534	19.229
4.760	R3	16.525	17.431	16.103	18.749
4.800	R3	13.624	14.738	15.723	18.483
4.840	R3	10.199	12.917	15.373	18.115
4.880	R3	11.765	11.895	14.813	17.814
4.920	R3	11.378	12.827	14.062	17.427
4.960	R3	14.176	18.749	13.431	17.044
5.000	R3	15.379	17.249	12.897	16.754
5.040	R3	13.162	13.953	12.511	16.500
5.080	R3	13.392	17.076	11.979	16.123
5.120	R3	12.024	16.763	11.564	15.602
5.160	R3	12.235	19.958	11.234	15.121
5.200	R3	11.183	18.577	10.894	14.864
5.240	R3	7.537	14.978	10.675	14.742
5.280	R3	7.167	15.945	10.714	14.767
5.320	R3	8.482	15.592	10.660	14.853
5.360	R3	9.212	14.103	10.561	14.682
5.400	R3	10.694	14.933	10.401	14.293
5.440	R3	8.383	13.719	10.109	13.930
5.480	R3	10.019	11.658	9.855	13.748
5.520	R3	8.143	9.357	9.571	13.335
5.560	R3	9.732	12.288	9.285	12.898
5.600	R3	9.234	12.299	8.932	12.160
5.640	R3	10.977	13.425	8.820	11.677
5.680	R3	10.688	13.615	8.935	11.457
5.720	R3	9.397	9.397	9.081	11.359
5.760	R3	10.980	10.980	9.243	11.165
5.800	R3	9.543	9.991	9.358	11.036
5.840	R3	8.070	10.300	9.377	10.842
5.880	R3	7.710	8.829	9.519	10.718
5.920	R3	6.308	8.019	9.294	10.411
5.960	R3	5.187	5.187	9.185	10.242
6.000	R3	8.929	8.929	8.927	9.855
6.040	R3	9.840	10.578	8.693	9.468
6.080	R3	10.091	13.979	8.409	9.062
6.120	R3	11.717	11.717	8.155	8.735
6.160	R3	11.523	11.523	8.024	8.720
6.200	R3	11.062	11.062	7.831	8.730
6.240	R3	11.228	11.228	7.895	8.991
6.280	R3	5.526	5.526	8.140	9.337
6.320	R3	5.966	5.966	8.509	9.960
6.360	R3	4.559	4.559	8.907	10.560
6.400	R3	4.562	4.562	9.266	11.107
6.440	R3	5.292	5.292	9.675	11.516
6.480	R3	5.614	7.075	9.748	11.552
6.520	R3	6.768	9.097	9.784	11.394
6.560	R3	7.118	11.185	9.881	11.532
6.600	R3	10.825	15.215	9.824	11.474
6.640	R3	12.983	17.216	9.824	11.475
6.680	R3	15.088	21.291	9.623	11.545
6.720	R3	14.266	20.007	9.773	11.892
6.760	R3	12.367	16.136	9.736	12.148
6.800	R3	17.103	17.103	9.791	12.422
6.840	R3	11.299	11.299	9.805	12.611
6.880	R3	10.823	10.823	9.758	12.721
6.920	R3	13.647	14.471	9.712	12.606
6.960	R3	10.376	10.376	9.572	12.406
7.000	R3	11.067	11.067	9.429	12.096
7.040	R3	7.207	12.630	9.136	11.584
7.080	R3	8.528	12.469	8.712	10.948
7.120	R3	5.223	11.086	8.159	10.107
7.160	R3	5.658	10.031	7.685	9.405
7.200	R3	4.846	8.357	7.354	8.886
7.240	R3	4.355	7.478	6.748	8.294
7.280	R3	4.686	4.788	6.423	7.968
7.320	R3	3.968	5.097	6.112	7.658
7.360	R3	4.264	4.984	5.641	7.146
7.400	R3	4.972	4.972	5.370	6.874
7.440	R3	4.489	4.489	5.060	6.564
7.480	R3	4.028	4.470	4.916	6.149
7.520	R3	4.792	5.977	4.668	5.704
7.560	R3	5.749	5.749	4.540	5.283
7.600	R3	4.981	5.257	4.410	4.935
7.640	R3	4.795	4.795	4.374	4.723
7.680	R3	4.610	4.610	4.359	4.551
7.720	R3	4.234	4.234	4.360	4.548
7.760	R3	4.944	4.944	4.385	4.516
7.800	R3	4.863	4.863	4.385	4.480
7.840	R3	4.328	4.328	4.293	4.388
7.880	R3	3.570	3.570	4.223	4.318
7.920	R3	2.671	2.671	4.179	4.252
7.960	R3	3.063	3.063	4.179	4.193
8.000	R3	4.125	4.125	4.163	4.210
8.040	R3	4.037	4.037	4.196	4.327
8.080	R3	4.723	4.723	4.201	4.352
8.120	R3	4.466	4.466	4.183	4.334
8.160	R3	4.259	4.259	4.204	4.502
8.200	R3	3.122	3.122	4.216	4.643
8.240	R3	3.099	3.099	4.321	4.941
8.280	R3	3.144	3.144	4.437	5.357
8.320	R3	4.802	4.802	4.496	5.671
8.360	R3	5.414	6.096	4.718	6.275
8.400	R3	5.645	7.587	4.822	6.817
8.440	R3	4.891	5.302	4.926	7.285
8.480	R3	4.250	4.250	5.193	7.790
8.520	R3	4.671	7.593	5.540	8.246
8.560	R3	5.183	7.767	6.068	8.947
8.600	R3	6.950	10.819	6.635	9.658
8.640	R3	6.653	12.639	7.364	10.483
8.680	R3	4.752	9.863	8.198	11.430
8.720	R3	7.106	14.743	8.952	12.259
8.760	R3	5.140	13.906	9.526	13.113
8.800	R3	6.205	13.490	10.210	13.763
8.840	R3	9.385	14.135	10.815	14.271
8.880	R3	11.657	13.841	11.548	14.983
8.920	R3	15.025	18.480	12.190	15.922
8.960	R3	15.610	18.477	12.824	16.692
9.000	R3	17.704	19.633	13.342	17.300
9.040	R3	19.783	22.030	13.894	17.750
9.080	R3	18.223	19.731	14.523	18.179
9.120	R3	16.277	21.886	15.072	18.683
9.160	R3	19.087	19.087	15.762	19.057
9.200	R3	17.744	17.744	16.308	19.296
9.240	R3	19.550	19.550	16.662	19.519
9.280	R3	17.090	23.025	16.936	19.949
9.320	R3	17.355	22.997	17.185	20.347
9.360	R3	15.553	19.919	17.189	20.479
9.400	R3	17.991	19.819	17.165	20.521
9.440	R3	19.216	21.215	16.876	20.516
9.480	R3	15.734	19.949	16.545	20.449
9.520	R3	20.915	22.225	16.423	20.556
9.560	R3	16.052	18.681	16.113	20.538
9.600	R3	13.283	17.959	15.750	20.590
9.640	R3	14.879	22.732	15.602	20.594
9.680	R3	16.628	21.807	15.173	20.611
9.720	R3	15.108	21.104	14.766	20.237
9.760	R3	15.124	19.324	14.508	19.932
9.800	R3	11.936	19.527	14.287	19.801
9.840	R3	13.150	20.690	13.822	19.648
9.880	R3	15.787	21.876	13.262	19.318
9.920	R3	10.071	21.537	12.984	19.196
9.960	R3	11.838	20.112	12.332	18.806
10.000	R3	14.784	17.829	12.014	18.608
10.040	R3	10.978	19.900	11.794	18.406
10.080	R3	8.932	15.545	11.692	18.038
10.120	R3	12.198	16.882	11.528	17.769
10.160	R3	11.140	17.312	11.260	17.201
10.200	R3	8.683	16.762	10.999	16.729
10.240	R3	8.031	14.611	10.833	16.184
10.280	R3	10.159	17.505	10.677	15.650
10.320	R3	7.876	14.427	10.311	14.981
10.360	R3	9.708	14.723	10.251	14.347
10.400	R3	8.873	13.913	10.051	13.733
10.440	R3	12.833	15.372	9.816	13.531
10.480	R3	13.361	16.419	9.922	13.191
10.520	R3	9.748	9.748	10.000	12.938
10.560	R3	9.890	9.890	9.812	12.517
10.600	R3	8.629	8.629	9.616	12.011
10.640	R3	10.017	10.017	9.602	11.594
10.680	R3	8.480	8.480	9.696	11.359
10.720	R3	8.855	8.855	9.612	10.907
10.760	R3	7.841	7.841	9.655	10.623
10.800	R3	10.090	13.794	9.623	10.340
10.840	R3	13.100	13.100	9.663	10.128
10.880	R3	10.480	10.480	9.245	9.583
10.920	R3	8.453	8.453	8.805	8.990
10.960	R3	7.208	7.208	8.595	8.780
11.000	R3	8.413	8.413	8.394	8.579
11.040	R3	9.913	9.913	8.338	8.592
11.080	R3	8.466	8.466	8.312	8.566
11.120	R3	8.751	8.751	8.421	8.781
11.160	R3	9.066	9.066	8.515	8.930
11.200	R3	9.671	9.671	8.731	9.146
11.240	R3	4.464	4.464	8.727	8.989
11.280	R3	4.565	4.565	8.543	8.806
11.320	R3	5.547	5.547	8.401	8.920
11.360	R3	5.868	5.868	8.354	9.166
11.400	R3	7.508	8.898	8.311	9.402
11.440	R3	9.494	9.494	8.297	9.669
11.480	R3	10.665	12.768	8.221	9.849
11.520	R3	10.735	11.844	8.228	9.941
11.560	R3	12.160	12.160	8.346	10.059
11.600	R3	10.008	10.659	8.445	10.259
11.640	R3	9.423	9.423	8.536	10.350
11.680	R3	7.642	12.778	8.830	10.644
11.720	R3	7.515	13.362	9.271	11.085
11.760	R3	6.338	11.926	10.174	12.261
11.800	R3	8.140	13.751	10.480	12.567
11.840	R3	8.390	13.521	10.699	12.717
11.880	R3	8.605	10.307	10.848	12.865
11.920	R3	11.108	11.108	10.883	12.795
11.960	R3	11.054	13.067	10.863	12.720
12.000	R3	11.482	11.482	10.877	12.734
12.040	R3	10.356	10.356	11.412	13.535
12.080	R3	13.379	13.379	12.015	14.218
12.120	R3	23.609	29.064	12.744	14.690
12.160	R3	11.986	11.986	12.974	14.862
12.200	R3	11.901	11.901	13.063	14.859
12.240	R3	12.456	12.456	13.019	14.985
12.280	R3	11.366	11.366	13.193	15.156
12.320	R3	10.345	10.345	13.774	15.867
12.360	R3	12.441	12.441	14.294	16.556
12.400	R3	20.703	26.689	14.805	16.967
12.440	R3	21.487	23.071	15.376	17.541
12.480	R3	22.221	22.221	15.939	18.148
12.520	R3	12.110	16.799	16.418	18.627
12.560	R3	8.118	11.868	15.952	18.056
12.600	R3	7.273	16.280	15.979	18.110
12.640	R3	11.859	16.925	15.749	17.881
12.680	R3	20.219	24.530	15.665	17.797
12.720	R3	21.513	24.903	15.469	17.642
12.760	R3	21.279	21.279	15.392	17.566
12.800	R3	22.896	22.958	15.254	17.460
12.840	R3	21.617	22.503	14.518	16.425
12.880	R3	22.958	22.958	13.773	15.601
12.920	R3	14.291	17.642	13.125	15.002
12.960	R3	12.519	13.074	13.129	14.896
13.000	R3	7.306	7.306	13.305	15.125
13.040	R3	10.786	10.786	13.462	14.933
13.080	R3	7.432	8.256	13.418	14.636
13.120	R3	8.812	8.832	13.204	14.262
13.160	R3	9.682	10.323	12.812	13.700
13.200	R3	5.980	5.980	12.358	13.310
13.240	R3	6.595	6.595	11.728	12.677
13.280	R3	9.262	10.235	11.044	11.949
13.320	R3	12.173	14.687	10.348	11.253
13.360	R3	11.648	16.456	10.359	11.097
13.400	R3	10.419	12.439	10.789	11.754
13.440	R3	10.968	10.968	11.033	11.998
13.480	R3	15.952	17.054	10.964	11.929
13.520	R3	13.667	13.667	11.006	11.930
13.560	R3	12.185	13.471	10.898	11.820
13.600	R3	10.315	10.315	10.812	11.703
13.640	R3	7.935	7.935	11.104	11.994
13.680	R3	9.038	9.038	11.418	12.334
13.720	R3	14.514	14.514	11.631	12.499
13.760	R3	21.110	26.220	11.671	12.413
13.800	R3	12.187	12.187	11.841	12.485
13.840	R3	9.407	9.407	12.110	12.654
13.880	R3	8.267	8.267	12.244	12.889
13.920	R3	6.647	6.647	12.075	12.830
13.960	R3	7.974	7.974	12.323	13.390
14.000	R3	11.807	11.807	12.461	13.464
14.040	R3	12.888	13.398	13.025	14.422
14.080	R3	13.528	13.528	13.289	14.686
14.120	R3	12.962	12.962	13.509	14.906
14.160	R3	15.044	17.900	13.437	14.835
14.200	R3	15.811	15.811	12.838	13.980
14.240	R3	13.636	15.672	12.662	13.804
14.280	R3	12.580	15.875	12.547	13.689
14.320	R3	18.624	24.869	12.482	13.624
14.360	R3	14.950	14.950	12.520	13.750
14.400	R3	21.581	29.476	12.579	13.809
14.440	R3	13.225	13.225	12.414	13.671
14.480	R3	13.432	13.432	12.025	13.420
14.520	R3	13.084	13.084	11.606	13.154
14.560	R3	9.125	9.125	11.214	12.930
14.600	R3	8.672	8.672	10.715	12.484
14.640	R3	7.104	7.104	10.198	12.166
14.680	R3	6.972	6.972	9.757	12.018
14.720	R3	7.401	9.156	9.372	11.740
14.760	R3	9.156	9.156	8.673	10.934
14.800	R3	8.510	9.046	8.162	10.665
14.840	R3	5.091	8.374	7.337	9.711
14.880	R3	5.149	8.212	6.900	9.690
14.920	R3	5.130	8.484	6.513	9.575
14.960	R3	5.070	8.975	6.133	9.515
15.000	R3	5.475	9.462	5.927	9.673
15.040	R3	4.815	12.718	5.721	9.882
15.080	R3	4.883	10.301	5.599	10.184
15.120	R3	4.631	8.755	5.519	10.488
15.160	R3	4.736	9.575	5.402	10.536
15.200	R3	5.075	10.386	5.152	10.637
15.240	R3	4.493	12.805	5.058	10.866
15.280	R3	5.684	11.137	5.057	10.988
15.320	R3	5.480	11.887	5.050	11.053
15.360	R3	5.024	12.291	5.059	11.247
15.400	R3	4.550	12.835	5.059	11.369
15.440	R3	4.655	13.162	5.040	11.458
15.480	R3	5.367	13.042	5.035	11.309
15.520	R3	5.068	10.108	5.044	11.235
15.560	R3	4.147	11.190	5.065	11.340
15.600	R3	6.641	13.625	5.073	11.443
15.640	R3	5.069	10.807	5.082	11.521
15.680	R3	5.010	9.505	5.057	11.432
15.720	R3	5.315	12.366	5.008	11.404
15.760	R3	5.071	11.425	4.991	11.411
15.800	R3	5.093	11.236	4.974	11.390
15.840	R3	4.718	9.733	4.973	11.321
15.880	R3	5.047	8.838	4.999	11.295
15.920	R3	5.062	10.844	5.009	11.301
15.960	R3	4.886	11.629	4.999	11.350
16.000	R3	5.263	11.954	5.025	11.338
16.040	R3	3.988	11.016	4.939	11.215
16.080	R3	4.698	10.591	4.928	11.270
16.120	R3	5.139	12.028	4.938	11.363
16.160	R3	4.695	11.864	4.920	11.444
16.200	R3	4.526	11.458	4.923	11.505
16.240	R3	5.184	12.645	4.920	11.561
16.280	R3	5.556	13.159	4.937	11.632
16.320	R3	4.869	11.084	4.932	11.740
16.360	R3	4.663	10.958	4.930	11.822
16.400	R3	4.923	11.156	4.908	11.875
16.440	R3	4.864	11.904	4.910	11.872
16.480	R3	5.206	11.383	4.936	11.889
16.520	R3	4.947	13.974	4.940	11.908
16.560	R3	5.137	12.639	4.928	11.877
16.600	R3	5.030	12.367	4.945	11.868
16.640	R3	5.060	11.144	4.970	11.945
16.680	R3	4.946	11.000	4.964	11.944
16.720	R3	5.017	12.480	4.891	11.863
16.760	R3	4.446	12.701	4.875	11.831
16.800	R3	5.300	11.888	4.884	11.657
16.840	R3	4.520	11.352	4.910	11.505
16.880	R3	4.764	10.985	4.934	11.288
16.920	R3	4.916	11.405	4.936	11.142
16.960	R3	5.032	11.669	5.030	11.010
17.000	R3	5.029	13.012	5.099	10.790
17.040	R3	5.059	12.628	5.156	10.499
17.080	R3	4.085	11.526	5.272	10.310
17.120	R3	4.565	10.456	5.296	10.174
17.160	R3	4.833	7.472	5.409	10.022
17.200	R3	5.435	8.108	5.550	9.792
17.240	R3	5.353	7.578	5.547	9.461
17.280	R3	5.248	8.459	5.588	9.160
17.320	R3	6.814	11.340	5.664	8.924
17.360	R3	6.518	8.236	5.800	8.809
17.400	R3	6.178	6.533	5.901	8.578
17.440	R3	7.375	7.375	5.872	8.150
17.480	R3	5.440	8.285	5.967	7.866
17.520	R3	7.262	9.434	6.175	7.766
17.560	R3	7.272	8.109	6.334	7.631
17.600	R3	5.248	5.248	6.523	7.687
17.640	R3	5.336	5.336	6.897	7.927
17.680	R3	6.277	6.277	7.062	7.982
17.720	R3	7.641	9.096	7.358	8.117
17.760	R3	7.051	7.051	7.427	7.960
17.800	R3	4.454	4.454	7.444	7.891
17.840	R3	6.957	6.957	7.400	7.947
17.880	R3	8.246	9.517	7.279	8.074
17.920	R3	7.746	7.746	7.259	8.203
17.960	R3	8.603	8.603	7.232	8.440
18.000	R3	12.912	12.912	7.265	8.754
18.040	R3	8.661	8.661	7.263	9.115
18.080	R3	11.165	11.165	7.256	9.503
18.120	R3	8.196	8.196	7.191	9.784
18.160	R3	6.863	6.863	7.059	9.926
18.200	R3	5.296	7.661	6.966	10.208
18.240	R3	4.948	9.900	6.988	10.571
18.280	R3	5.035	10.884	6.873	10.758
18.320	R3	6.731	14.156	6.717	10.851
18.360	R3	7.931	14.390	6.548	11.065
18.400	R3	5.210	12.472	6.317	11.158
18.440	R3	5.198	13.093	5.886	10.900
18.480	R3	4.964	11.899	5.666	10.864
18.520	R3	5.010	11.937	5.358	10.813
18.560	R3	5.202	12.686	5.212	11.025
18.600	R3	4.875	11.720	5.107	11.303
18.640	R3	4.658	10.707	5.109	11.460
18.680	R3	5.132	11.363	5.097	11.509
18.720	R3	4.361	12.038	5.113	11.551
18.760	R3	3.994	10.457	4.988	11.368
18.800	R3	4.300	7.749	4.813	11.210
18.840	R3	4.256	7.937	4.787	11.108
18.880	R3	4.995	10.158	4.806	11.121
18.920	R3	5.287	12.421	4.839	11.121
18.960	R3	4.765	12.426	4.855	11.122
19.000	R3	5.336	10.802	4.889	10.921
19.040	R3	4.700	10.885	4.965	10.769
19.080	R3	5.359	11.716	5.034	10.683
19.120	R3	4.235	10.509	5.124	10.545
19.160	R3	4.415	11.233	5.255	10.325
19.200	R3	4.691	10.431	5.340	10.086
19.240	R3	5.576	13.354	5.439	10.013
19.280	R3	5.629	11.889	5.501	10.057
19.320	R3	5.328	11.963	5.516	9.951
19.360	R3	5.884	8.659	5.628	9.759
19.400	R3	6.406	8.675	5.777	9.577
19.440	R3	6.029	8.998	5.918	9.528
19.480	R3	6.939	8.601	6.105	9.606
19.520	R3	6.982	7.627	6.385	9.644
19.560	R3	5.683	5.683	6.591	9.741
19.600	R3	6.289	6.289	6.881	9.753
19.640	R3	5.483	8.829	7.312	10.017
19.680	R3	5.300	8.035	7.533	9.880
19.720	R3	7.530	8.584	7.829	9.863
19.760	R3	7.736	8.783	8.179	9.974
19.800	R3	8.156	9.820	8.457	10.296
19.840	R3	8.440	12.450	8.665	10.718
19.880	R3	10.970	12.465	8.782	10.940
19.920	R3	8.347	12.442	8.779	11.072
19.960	R3	10.227	11.473	8.646	11.107
20.000	R3	13.301	15.722	8.574	11.491
20.040	R3	10.005	10.610	8.626	11.831
20.080	R3	11.551	11.551	8.862	12.164
20.120	R3	12.318	14.180	9.352	12.517
20.160	R3	11.453	15.109	10.107	13.541
20.200	R3	10.556	17.117	10.772	14.515
20.240	R3	8.368	13.423	11.257	15.292
20.280	R3	6.886	11.244	11.761	15.963
20.320	R3	4.322	8.338	12.235	16.597
20.360	R3	4.243	13.352	12.725	17.129
20.400	R3	7.326	13.090	12.987	17.524
20.440	R3	10.212	15.484	13.149	17.988
20.480	R3	15.104	15.104	13.260	18.275
20.520	R3	22.621	29.071	13.145	18.521
20.560	R3	21.041	28.247	13.058	18.719
20.600	R3	17.852	25.378	13.009	18.765
20.640	R3	18.522	25.866	13.071	18.892
20.680	R3	20.452	25.132	13.142	19.051
20.720	R3	18.149	23.093	13.383	19.373
20.760	R3	15.468	19.378	13.792	19.836
20.800	R3	16.541	24.987	13.941	19.819
20.840	R3	12.206	16.360	13.984	19.858
20.880	R3	9.253	16.466	13.821	19.618
20.920	R3	10.589	18.149	13.404	19.382
20.960	R3	10.464	16.030	12.529	18.532
21.000	R3	11.812	19.654	11.716	17.563
21.040	R3	9.770	16.590	11.097	16.870
21.080	R3	11.719	17.696	10.425	16.185
21.120	R3	12.494	17.590	9.650	15.503
21.160	R3	7.232	13.015	9.003	15.008
21.200	R3	8.180	13.871	8.471	14.643
21.240	R3	6.961	10.681	7.871	13.963
21.280	R3	6.750	10.394	7.470	13.712
21.320	R3	5.129	12.067	7.220	13.468
21.360	R3	4.775	8.872	6.963	13.225
21.400	R3	5.468	11.503	6.694	13.051
21.440	R3	5.095	12.175	6.363	12.695
21.480	R3	4.950	11.482	6.143	12.483
21.520	R3	5.197	13.195	5.799	12.213
21.560	R3	4.832	12.092	5.401	11.965
21.600	R3	4.537	11.380	5.294	11.817
21.640	R3	4.188	11.329	5.104	11.767
21.680	R3	4.267	11.590	4.987	11.847
21.720	R3	5.441	13.297	4.871	11.965
21.760	R3	5.080	12.541	4.823	11.864
21.800	R3	5.195	12.538	4.900	12.042
21.840	R3	5.377	12.359	5.013	12.230
21.880	R3	4.831	12.294	5.120	12.410
21.920	R3	4.542	12.615	5.228	12.591
21.960	R3	5.082	10.061	5.105	12.504
22.000	R3	4.375	12.866	5.034	12.273
22.040	R3	4.620	12.287	5.002	12.114
22.080	R3	4.436	12.762	4.998	12.119
22.120	R3	4.171	10.040	4.998	11.998
22.160	R3	6.325	12.443	4.948	11.718
22.200	R3	7.727	15.249	4.923	11.538
22.240	R3	7.228	15.773	4.874	11.310
22.280	R3	7.101	15.101	4.824	11.130
22.320	R3	2.754	11.471	4.718	10.954
22.360	R3	3.406	7.472	4.727	10.737
22.400	R3	3.904	8.187	4.715	10.549
22.440	R3	4.090	11.443	4.731	10.282
22.480	R3	4.277	9.150	4.754	9.965
22.520	R3	4.443	7.701	4.785	9.582
22.560	R3	4.573	8.948	4.729	9.233
22.600	R3	4.216	7.970	4.573	8.771
22.640	R3	4.374	8.769	4.322	8.144
22.680	R3	2.712	8.779	4.108	7.502
22.720	R3	4.730	8.271	3.854	6.848
22.760	R3	4.831	6.294	3.874	6.432
22.800	R3	4.699	7.539	3.832	6.188
22.840	R3	5.085	5.944	3.755	5.897
22.880	R3	5.057	5.104	3.681	5.455
22.920	R3	3.054	3.054	3.595	5.125
22.960	R3	3.208	3.208	3.505	4.872
23.000	R3	2.702	2.702	3.382	4.530
23.040	R3	2.938	2.938	3.275	4.236
23.080	R3	2.025	2.025	3.180	3.921
23.120	R3	3.153	3.153	3.166	3.604
23.160	R3	2.576	2.576	3.057	3.317
23.200	R3	2.364	2.364	2.923	3.110
23.240	R3	2.609	2.609	2.815	2.861
23.280	R3	2.551	2.551	2.674	2.677
23.320	R3	2.651	2.651	2.527	2.527
23.360	R3	2.101	2.101	2.492	2.492
23.400	R3	2.081	2.081	2.465	2.465
23.440	R3	2.471	2.471	2.444	2.444
23.480	R3	2.442	2.442	2.427	2.427
23.520	R3	2.543	2.543	2.467	2.467
23.560	R3	2.145	2.145	2.409	2.409
23.600	R3	2.552	2.552	2.429	2.429
23.640	R3	2.264	2.264	2.435	2.435
23.680	R3	2.113	2.113	2.416	2.416
23.720	R3	2.359	2.359	2.421	2.421
23.760	R3	2.656	2.656	2.421	2.421
23.800	R3	2.286	2.286	2.423	2.423
23.840	R3	2.594	2.594	2.461	2.461
23.880	R3	2.838	2.838	2.471	2.471
23.920	R3	1.977	1.977	2.464	2.464
23.960	R3	2.982	2.982	2.483	2.483
24.000	R3	2.478	2.478	2.522	2.522
24.040	R3	2.228	2.228	2.531	2.531
24.080	R3	2.661	2.661	2.560	2.560
24.120	R3	2.654	2.654	2.556	2.556
